Name,Family_size,Budget,Status,Location,Age,Type of Vehicle,Model,Category,Accessories Name
CUS42,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS43,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS44,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS45,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS46,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS47,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS48,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS49,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS50,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS51,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS52,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS53,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS54,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS55,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS56,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS57,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS58,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS59,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS60,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS61,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS62,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS63,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS64,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS65,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS66,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS67,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS68,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS69,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS70,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS71,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS72,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS73,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS74,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS75,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS76,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS77,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS78,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS79,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS80,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
CUS81,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
CUS82,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS83,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS84,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS85,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS86,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS87,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS88,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS89,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS90,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS91,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS92,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS93,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS94,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS95,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS96,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS97,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS98,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS99,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS100,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS101,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS102,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS103,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS104,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS105,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS106,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS107,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS108,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS109,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS110,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS111,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS112,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS113,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS114,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS115,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS116,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS117,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS118,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS119,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS120,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
CUS121,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
CUS122,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS123,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS124,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS125,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS126,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS127,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS128,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS129,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS130,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS131,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS132,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS133,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS134,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS135,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS136,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS137,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS138,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS139,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS140,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS141,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS142,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS143,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS144,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS145,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS146,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS147,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS148,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS149,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS150,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS151,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS152,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS153,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS154,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS155,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS156,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS157,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS158,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS159,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS160,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
CUS161,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
CUS162,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS163,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS164,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS165,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS166,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS167,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS168,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS169,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS170,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS171,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS172,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS173,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS174,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS175,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS176,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS177,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS178,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS179,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS180,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS181,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS182,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS183,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS184,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS185,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS186,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS187,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS188,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS189,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS190,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS191,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS192,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS193,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS194,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS195,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS196,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS197,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS198,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS199,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS200,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
CUS201,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
CUS202,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS203,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS204,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS205,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS206,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS207,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS208,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS209,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS210,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS211,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS212,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS213,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS214,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS215,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS216,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS217,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS218,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS219,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS220,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS221,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS222,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS223,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS224,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS225,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS226,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS227,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS228,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS229,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS230,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS231,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS232,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS233,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS234,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS235,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS236,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS237,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS238,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS239,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS240,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
CUS241,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
