Name,Family_size,Status,Location,Age,Budget,Model
CUS33,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS34,3,Low,Single,CD,>40,E400 Coupe
CUS35,3,Medium ,Single,CD,>40,E550 Coupe
CUS36,3,High,Single,CD,>40,AMG S63 Coupe
CUS37,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS38,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS39,3,High,Married,CD,>40,AMG S65 Coupe
CUS40,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS41,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS42,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS43,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS44,4,Low,Married,LD,<40,AMG C43 Sedan
CUS45,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS46,4,High,Married,LD,<40,AMG S63 Sedan
CUS47,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS48,4,Low,Married,CD,<40,C300 Sedan
CUS49,4,High,Married,CD,<40,S550 Sedan
CUS50,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS51,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS52,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS53,4,High,Married,LD,>40,S600 Sedan
CUS54,4,High,Single,CD,>40,AMG S65 Sedan
CUS55,4,Low,Married,CD,>40,E300 Sedan
CUS56,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS57,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS58,2,Low,Single,CD,<40,C300 Cabriolet
CUS59,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS60,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS61,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS62,2,High,Single,LD,>40,S550 Cabriolet
CUS63,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS64,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS65,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS66,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS67,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS68,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS69,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS70,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS71,5,Low,Single,CD,<40,GLA250 SUV
CUS72,5,Medium ,Single,CD,<40,GLS450 SUV
CUS73,5,High,Single,CD,<40,AMG GLE63 SUV
CUS74,5,Low,Married,CD,<40,GLE350 SUV
CUS75,5,Medium ,Married,CD,<40,GLS550 SUV
CUS76,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS77,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS78,5,High,Single,LD,>40,AMG GLS63 SUV
CUS79,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS80,5,High,Married,LD,>40,G550 SUV
CUS81,5,Low,Single,CD,>40,GLC300 SUV
CUS82,5,High,Single,CD,>40,AMG G63 SUV
CUS83,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS84,5,High,Married,CD,>40,AMG G65 SUV
CUS85,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS86,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS87,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS88,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS89,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS90,3,Low,Single,CD,<40,C300 Coupe
CUS91,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS92,3,Low,Married,CD,<40,CLA250 Coupe
CUS93,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS94,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS95,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS96,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS97,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS98,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS99,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS100,3,Low,Single,CD,>40,E400 Coupe
CUS101,3,Medium ,Single,CD,>40,E550 Coupe
CUS102,3,High,Single,CD,>40,AMG S63 Coupe
CUS103,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS104,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS105,3,High,Married,CD,>40,AMG S65 Coupe
CUS106,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS107,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS108,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS109,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS110,4,Low,Married,LD,<40,AMG C43 Sedan
CUS111,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS112,4,High,Married,LD,<40,AMG S63 Sedan
CUS113,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS114,4,Low,Married,CD,<40,C300 Sedan
CUS115,4,High,Married,CD,<40,S550 Sedan
CUS116,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS117,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS118,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS119,4,High,Married,LD,>40,S600 Sedan
CUS120,4,High,Single,CD,>40,AMG S65 Sedan
CUS121,4,Low,Married,CD,>40,E300 Sedan
CUS122,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS123,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS124,2,Low,Single,CD,<40,C300 Cabriolet
CUS125,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS126,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS127,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS128,2,High,Single,LD,>40,S550 Cabriolet
CUS129,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS130,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS131,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS132,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS133,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS134,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS135,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS136,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS137,5,Low,Single,CD,<40,GLA250 SUV
CUS138,5,Medium ,Single,CD,<40,GLS450 SUV
CUS139,5,High,Single,CD,<40,AMG GLE63 SUV
CUS140,5,Low,Married,CD,<40,GLE350 SUV
CUS141,5,Medium ,Married,CD,<40,GLS550 SUV
CUS142,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS143,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS144,5,High,Single,LD,>40,AMG GLS63 SUV
CUS145,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS146,5,High,Married,LD,>40,G550 SUV
CUS147,5,Low,Single,CD,>40,GLC300 SUV
CUS148,5,High,Single,CD,>40,AMG G63 SUV
CUS149,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS150,5,High,Married,CD,>40,AMG G65 SUV
CUS151,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS152,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS153,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS154,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS155,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS156,3,Low,Single,CD,<40,C300 Coupe
CUS157,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS158,3,Low,Married,CD,<40,CLA250 Coupe
CUS159,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS160,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS161,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS162,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS163,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS164,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS165,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS166,3,Low,Single,CD,>40,E400 Coupe
CUS167,3,Medium ,Single,CD,>40,E550 Coupe
CUS168,3,High,Single,CD,>40,AMG S63 Coupe
CUS169,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS170,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS171,3,High,Married,CD,>40,AMG S65 Coupe
CUS172,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS173,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS174,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS175,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS176,4,Low,Married,LD,<40,AMG C43 Sedan
CUS177,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS178,4,High,Married,LD,<40,AMG S63 Sedan
CUS179,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS180,4,Low,Married,CD,<40,C300 Sedan
CUS181,4,High,Married,CD,<40,S550 Sedan
CUS182,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS183,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS184,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS185,4,High,Married,LD,>40,S600 Sedan
CUS186,4,High,Single,CD,>40,AMG S65 Sedan
CUS187,4,Low,Married,CD,>40,E300 Sedan
CUS188,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS189,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS190,2,Low,Single,CD,<40,C300 Cabriolet
CUS191,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS192,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS193,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS194,2,High,Single,LD,>40,S550 Cabriolet
CUS195,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS196,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS197,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS198,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS199,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS200,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS201,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS202,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS203,5,Low,Single,CD,<40,GLA250 SUV
CUS204,5,Medium ,Single,CD,<40,GLS450 SUV
CUS205,5,High,Single,CD,<40,AMG GLE63 SUV
CUS206,5,Low,Married,CD,<40,GLE350 SUV
CUS207,5,Medium ,Married,CD,<40,GLS550 SUV
CUS208,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS209,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS210,5,High,Single,LD,>40,AMG GLS63 SUV
CUS211,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS212,5,High,Married,LD,>40,G550 SUV
CUS213,5,Low,Single,CD,>40,GLC300 SUV
CUS214,5,High,Single,CD,>40,AMG G63 SUV
CUS215,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS216,5,High,Married,CD,>40,AMG G65 SUV
CUS217,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS218,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS219,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS220,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS221,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS222,3,Low,Single,CD,<40,C300 Coupe
CUS223,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS224,3,Low,Married,CD,<40,CLA250 Coupe
CUS225,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS226,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS227,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS228,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS229,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS230,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS231,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS232,3,Low,Single,CD,>40,E400 Coupe
CUS233,3,Medium ,Single,CD,>40,E550 Coupe
CUS234,3,High,Single,CD,>40,AMG S63 Coupe
CUS235,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS236,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS237,3,High,Married,CD,>40,AMG S65 Coupe
CUS238,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS239,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS240,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS241,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS242,4,Low,Married,LD,<40,AMG C43 Sedan
CUS243,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS244,4,High,Married,LD,<40,AMG S63 Sedan
CUS245,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS246,4,Low,Married,CD,<40,C300 Sedan
CUS247,4,High,Married,CD,<40,S550 Sedan
CUS248,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS249,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS250,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS251,4,High,Married,LD,>40,S600 Sedan
CUS252,4,High,Single,CD,>40,AMG S65 Sedan
CUS253,4,Low,Married,CD,>40,E300 Sedan
CUS254,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS255,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS256,2,Low,Single,CD,<40,C300 Cabriolet
CUS257,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS258,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS259,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS260,2,High,Single,LD,>40,S550 Cabriolet
CUS261,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS262,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS263,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS264,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS265,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS266,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS267,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS268,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS269,5,Low,Single,CD,<40,GLA250 SUV
CUS270,5,Medium ,Single,CD,<40,GLS450 SUV
CUS271,5,High,Single,CD,<40,AMG GLE63 SUV
CUS272,5,Low,Married,CD,<40,GLE350 SUV
CUS273,5,Medium ,Married,CD,<40,GLS550 SUV
CUS274,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS275,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS276,5,High,Single,LD,>40,AMG GLS63 SUV
CUS277,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS278,5,High,Married,LD,>40,G550 SUV
CUS279,5,Low,Single,CD,>40,GLC300 SUV
CUS280,5,High,Single,CD,>40,AMG G63 SUV
CUS281,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS282,5,High,Married,CD,>40,AMG G65 SUV
CUS283,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS284,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS285,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS286,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS287,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS288,3,Low,Single,CD,<40,C300 Coupe
CUS289,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS290,3,Low,Married,CD,<40,CLA250 Coupe
CUS291,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS292,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS293,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS294,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS295,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS296,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS297,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS298,3,Low,Single,CD,>40,E400 Coupe
CUS299,3,Medium ,Single,CD,>40,E550 Coupe
CUS300,3,High,Single,CD,>40,AMG S63 Coupe
CUS301,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS302,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS303,3,High,Married,CD,>40,AMG S65 Coupe
CUS304,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS305,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS306,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS307,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS308,4,Low,Married,LD,<40,AMG C43 Sedan
CUS309,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS310,4,High,Married,LD,<40,AMG S63 Sedan
CUS311,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS312,4,Low,Married,CD,<40,C300 Sedan
CUS313,4,High,Married,CD,<40,S550 Sedan
CUS314,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS315,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS316,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS317,4,High,Married,LD,>40,S600 Sedan
CUS318,4,High,Single,CD,>40,AMG S65 Sedan
CUS319,4,Low,Married,CD,>40,E300 Sedan
CUS320,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS321,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS322,2,Low,Single,CD,<40,C300 Cabriolet
CUS323,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS324,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS325,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS326,2,High,Single,LD,>40,S550 Cabriolet
CUS327,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS328,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS329,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS330,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS331,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS332,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS333,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS334,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS335,5,Low,Single,CD,<40,GLA250 SUV
CUS336,5,Medium ,Single,CD,<40,GLS450 SUV
CUS337,5,High,Single,CD,<40,AMG GLE63 SUV
CUS338,5,Low,Married,CD,<40,GLE350 SUV
CUS339,5,Medium ,Married,CD,<40,GLS550 SUV
CUS340,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS341,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS342,5,High,Single,LD,>40,AMG GLS63 SUV
CUS343,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS344,5,High,Married,LD,>40,G550 SUV
CUS345,5,Low,Single,CD,>40,GLC300 SUV
CUS346,5,High,Single,CD,>40,AMG G63 SUV
CUS347,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS348,5,High,Married,CD,>40,AMG G65 SUV
CUS349,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS350,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS351,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS352,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS353,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS354,3,Low,Single,CD,<40,C300 Coupe
CUS355,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS356,3,Low,Married,CD,<40,CLA250 Coupe
CUS357,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS358,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS359,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS360,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS361,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS362,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS363,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS364,3,Low,Single,CD,>40,E400 Coupe
CUS365,3,Medium ,Single,CD,>40,E550 Coupe
CUS366,3,High,Single,CD,>40,AMG S63 Coupe
CUS367,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS368,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS369,3,High,Married,CD,>40,AMG S65 Coupe
CUS370,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS371,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS372,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS373,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS374,4,Low,Married,LD,<40,AMG C43 Sedan
CUS375,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS376,4,High,Married,LD,<40,AMG S63 Sedan
CUS377,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS378,4,Low,Married,CD,<40,C300 Sedan
CUS379,4,High,Married,CD,<40,S550 Sedan
CUS380,4,Low,Single,LD,>40,E300 4MATIC Sedan
CUS381,4,Medium ,Single,LD,>40,AMG E43 Sedan
CUS382,4,High,Single,LD,>40,Mercedes-Maybach S550 4MATIC Sedan
CUS383,4,High,Married,LD,>40,S600 Sedan
CUS384,4,High,Single,CD,>40,AMG S65 Sedan
CUS385,4,Low,Married,CD,>40,E300 Sedan
CUS386,4,High,Married,CD,>40,Mercedes-Maybach S600 Sedan
CUS387,2,High,Married,ED,<40,C300 4MATIC Cabriolet
CUS388,2,Low,Single,CD,<40,C300 Cabriolet
CUS389,2,Medium ,Single,CD,<40,AMG C63 S Cabriolet
CUS390,2,Medium ,Married,CD,<40,E400 Cabriolet
CUS391,2,Medium ,Single,LD,>40,E550 Cabriolet
CUS392,2,High,Single,LD,>40,S550 Cabriolet
CUS393,2,High,Married,LD,>40,AMG S65 Cabriolet
CUS394,2,Low,Single,CD,>40,AMG C43 Cabriolet
CUS395,2,Medium ,Single,CD,>40,AMG C63 Cabriolet
CUS396,2,High,Married,CD,>40,AMG S63 Cabriolet
CUS397,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS398,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS399,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS400,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS401,5,Low,Single,CD,<40,GLA250 SUV
CUS402,5,Medium ,Single,CD,<40,GLS450 SUV
CUS403,5,High,Single,CD,<40,AMG GLE63 SUV
CUS404,5,Low,Married,CD,<40,GLE350 SUV
CUS405,5,Medium ,Married,CD,<40,GLS550 SUV
CUS406,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS407,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS408,5,High,Single,LD,>40,AMG GLS63 SUV
CUS409,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS410,5,High,Married,LD,>40,G550 SUV
CUS411,5,Low,Single,CD,>40,GLC300 SUV
CUS412,5,High,Single,CD,>40,AMG G63 SUV
CUS413,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS414,5,High,Married,CD,>40,AMG G65 SUV
CUS415,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS416,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS417,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS418,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS419,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS420,3,Low,Single,CD,<40,C300 Coupe
CUS421,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS422,3,Low,Married,CD,<40,CLA250 Coupe
CUS423,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS424,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS425,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS426,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS427,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS428,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
CUS429,3,High,Married,LD,>40,S550 4MATIC Coupe
CUS430,3,Low,Single,CD,>40,E400 Coupe
CUS431,3,Medium ,Single,CD,>40,E550 Coupe
CUS432,3,High,Single,CD,>40,AMG S63 Coupe
CUS433,3,Low,Married,CD,>40,AMG CLA45 Coupe
CUS434,3,Medium ,Married,CD,>40,2016 CLS400 Coupe
CUS435,3,High,Married,CD,>40,AMG S65 Coupe
CUS436,4,High,Married,ED,<40,S550e Plug-in Hybrid
CUS437,4,Low,Single,ED,<40,C350e Plug-in Hybrid Sedan
CUS438,4,Low,Single,LD,<40,C300 4MATIC Sedan
CUS439,4,High,Single,LD,<40,S550 4MATIC Sedan
CUS440,4,Low,Married,LD,<40,AMG C43 Sedan
CUS441,4,Medium ,Married,LD,<40,AMG C63 Sedan
CUS442,4,High,Married,LD,<40,AMG S63 Sedan
CUS443,4,Medium ,Single,CD,<40,AMG C63 S Sedan
CUS444,4,Low,Married,CD,<40,C300 Sedan
