,indents,Synonyms
3,finance,reporter_Sue_Lannin
4,finance,Ellen_Roseman_writes
5,finance,professionals_ELFA_SmartBrief
6,finance,director_Karim_Naffah
7,finance,initiatives_PFIs
8,finance,Agha_Jan_Mohtasim
9,finance,fin_ance
10,finance,reporter_Lexi_Metherell
11,finance,reporter_Rebecca_Hyam
12,finance,minister_Manpreet_Singh
13,finance,BY_GREGORY_KARP
14,finance,treasury
15,finance,banking
16,finance,hospital_Bambin_Gesu
17,finance,Reginald_Zeno
18,finance,minister_Abul_Maal
19,finance,minister_Avraham_Hirchson
20,finance,minister_Desire_Dallo
21,finance,minister_Antoinette_Sayeh
22,finance,financial
23,finance,minister_Gerald_Ssendaula
24,finance,Kent_Costin
25,finance,minister_Salam_Fayad
26,finance,AIM_UTK_specialty
27,finance,minister_Jin_Renqing
28,finance,minister_M_Saifur
29,finance,Rich_Riebeling
30,finance,minister_Situmbeko_Musokotwane
31,finance,Ian_McHoul
32,finance,corporate
33,finance,Baqer_Jaber_Solagh
34,finance,minister_Mwesigwa_Rukutana
35,finance,director_Rob_Bickhart
36,finance,Adil_Abdel_Mahdi
37,finance,Piotr_Marczak
38,finance,minister_Thomas_Mirow
39,finance,economics
40,finance,minister_Tibor_Draskovics
41,finance,George_Athanassakos
42,finance,critic_François_Legault
43,finance,Danielle_Stilz
44,finance,fin_ancial
45,finance,Financing
46,finance,Laurie_McIlwee
47,finance,minister_Vajubhai_Vala
48,finance,minister_SAMS_Kibria
49,finance,Linus_Catignani
0,options,option
1,options,alternatives
2,options,Options
3,options,possibilities
4,options,choices
5,options,op_tions
6,options,possiblities
7,options,opportunities
8,options,possibilites
9,options,photos_floorplans
10,options,ways
11,options,Johnny_Damon_Hideki_Matsui
12,options,pros_cons
13,options,Option
14,options,scenarios
15,options,pluses
16,options,SouthernLINC_Wireless_bundles
17,options,choice
18,options,unattractive_Cimbala
19,options,opportunites
20,options,Browse_listings
21,options,Backdating_involves
22,options,misdated_stock
23,options,alternative
24,options,customizable_omelet
25,options,downsides
26,options,Changyou_IPO
27,options,combinations
28,options,possibilties
29,options,Appendix_3B_Exercise
30,options,advantages
31,options,unexercisable_options
32,options,seafoam_colored_chiffon_strapless
33,options,Sabean_Bochy
34,options,remedies
35,options,fraudulently_backdated
36,options,http://www.lynda.com/multiuser/
37,options,Backdating_refers
38,options,cons
39,options,perks
40,options,flexibility
41,options,proposals
42,options,possibility
43,options,improperly_backdated
44,options,benefits
45,options,oppportunities
46,options,Sr._VP_Exercises
47,options,leverage_FundQuest
48,options,reasons
49,options,Apa_Style_Writing
0,entertainment,impresario_Ricardo
1,entertainment,Comcast_Spectacor_comcast
2,entertainment,entertaiment
3,entertainment,andentertainment
4,entertainment,Brian_Graden_MTV
5,entertainment,entertain_ment
6,entertainment,organizers_Pineapple_Concerts
7,entertainment,statement_Kohel_Haver
8,entertainment,enter_tainment
9,entertainment,Entertainment
10,entertainment,entertainments
11,entertainment,enterainment
12,entertainment,writers_Derrik_Lang
13,entertainment,WGA_AMPTP_impasse
14,entertainment,Diversions_Coming_Attractions
15,entertainment,these_bloggy_bits
16,entertainment,Sibyl_Goldman
17,entertainment,lathered_O'Brien
18,entertainment,become_dully_predictable
19,entertainment,frequenting_disreputable_places
20,entertainment,Inc._OTCBB_SMDI
21,entertainment,Weekend_Happenings_fax
22,entertainment,music
23,entertainment,reporter_rubs_elbows
24,entertainment,Nasdaq_XSEL
25,entertainment,Collectively_Paciolan_powers
26,entertainment,Viscosi_Media
27,entertainment,amusements
28,entertainment,multimedia
29,entertainment,nontheatrical
30,entertainment,ESI_TSX_ESY
31,entertainment,strolling_entertainers
32,entertainment,Xbox_###TM_video
33,entertainment,Jedd_Ferris_writes
34,entertainment,ION_Television_www.iontelevision.com
35,entertainment,gaming
36,entertainment,infotainment
37,entertainment,videogaming
38,entertainment,multi_jurisdictional_gaming
39,entertainment,Reginald_Hudlin_BET
40,entertainment,entreprenurial_abilities
41,entertainment,edu_tainment
42,entertainment,NYSE_BBI.B
43,entertainment,Debris_encrusted_armoires
44,entertainment,leisure
45,entertainment,Garrett_Shider
46,entertainment,performing_arts
47,entertainment,edutainment
48,entertainment,NASDAQ_ZVUE_global
49,entertainment,editor_Lana_Sweeten
0,performance,peformance
1,performance,performace
2,performance,performances
3,performance,perfomance
4,performance,perform_ance
5,performance,Performance
6,performance,preformance
7,performance,per_formance
8,performance,perfor_mance
9,performance,perfromance
10,performance,performing
11,performance,performanceand
12,performance,performance.The
13,performance,achievement
14,performance,perfomances
15,performance,performaces
16,performance,perfromances
17,performance,performer
18,performance,rideability
19,performance,tiring_Derek_Lowe
20,performance,perform
21,performance,Lastings_Milledge_tiebreaking
22,performance,GOODYEAR_Ariz._Fausto_Carmona
23,performance,performanc
24,performance,theperformance
25,performance,lackluster
26,performance,omnium_combines
27,performance,NVH_characteristics
28,performance,peformances
29,performance,outing
30,performance,SunSpider_JavaScript
31,performance,mediocre
32,performance,G.Skill_Titan
33,performance,performers
34,performance,reliablity
35,performance,straightline_speeds
36,performance,results
37,performance,subpar
38,performance,Cotillard_dazzles
39,performance,Sunspider
40,performance,HyperCloud_memory
41,performance,sightreading
42,performance,PCMark_Vantage
43,performance,Minuscule_fins_jutting
44,performance,perf
45,performance,director_Jeremy_Hickmans
46,performance,roadholding
47,performance,superlative
48,performance,SPECjbb####_benchmark
49,performance,acoustics
0,personal,Personal
1,personal,per_sonal
2,personal,Biden_decries_unbecoming
3,personal,pesonal
4,personal,area_networks_WPANs
5,personal,nonpersonal
6,personal,everyone_Lucaccini
7,personal,BY_GREGORY_KARP
8,personal,own
9,personal,customizable_scrolling_ticker
10,personal,Foot_fetish
11,personal,LW_Chad_Kilger
12,personal,Ellen_Roseman_writes
13,personal,Wirnsberger_recalled
14,personal,trainer_Ben_Amigoni
15,personal,visit_www.cnet.com
16,personal,individual
17,personal,assistant_Alicia_Grimaldi
18,personal,assistants_PDAs
19,personal,assistant_Diogo_Kotscho
20,personal,hero_Mohandas_K.
21,personal,secretly_pry
22,personal,Alfred_Getonga
23,personal,network_WPAN
24,personal,records_PHRs
25,personal,toothpaste_shaving_cream
26,personal,Susan_Tompor
27,personal,luluandmoxley.blogspot.com
28,personal,No_vulgarity_racial
29,personal,networks_PANs
30,personal,bankruptcies_liens
31,personal,BancVue_marries_innovative
32,personal,PINs_passwords
33,personal,Judith_Corley
34,personal,privacy
35,personal,professional
36,personal,profanity_abbreviations
37,personal,Satjiv_S._Chahil
38,personal,finance_guru_Suze
39,personal,Gail_MarksJarvis
40,personal,Max_Szadek
41,personal,pension_Sipp
42,personal,favorite_semicolons
43,personal,Payment_Terms_PAYPAL
44,personal,aide_RK_Chandolia
45,personal,Beth_Kobliner
46,personal,Flaming_wreckage
47,personal,nonwork_related
48,personal,hate_speech_obscenity
49,personal,consumption_expenditure_deflator
0,travel,traveling
1,travel,Travel
2,travel,travelers
3,travel,trips
4,travel,travels
5,travel,trip
6,travel,journeys
7,travel,airfare
8,travel,Travelling
9,travel,Traveling
10,travel,traveled
11,travel,Worldspan_enables
12,travel,vacations
13,travel,airfares
14,travel,destinations
15,travel,daytrips
16,travel,trave
17,travel,Dr._Phyllis_Kozarsky
18,travel,cheap_airfares
19,travel,fares
20,travel,itineraries
21,travel,traveler
22,travel,flights
23,travel,rebooking_flights
24,travel,Atol_protected
25,travel,Volcanic_ash_halts
26,travel,DataConnect_Global
27,travel,roundtrip
28,travel,lodging
29,travel,TRAVEL
30,travel,travel.com
31,travel,Airflights.co.uk
32,travel,cruise
33,travel,Bearded_seals_often
34,travel,ATOL_bonded
35,travel,itinerary
36,travel,railpass
37,travel,distances_Mase_Guthrie
38,travel,agents_ASTA_SmartBrief
39,travel,igougo.com_leading_online
40,travel,RoadTrip_Wizard
41,travel,Airfare
42,travel,guru_Arthur_Frommer
43,travel,airflights
44,travel,Goway_Travel
45,travel,hotel_accommodations
46,travel,journeying
47,travel,www.expedia.com
48,travel,Eurail_passes
49,travel,Travelocity_www.travelocity.com
0,weekend,week
1,weekend,summer
2,weekend,Saturday
3,weekend,weeked
4,weekend,Labor_Day
5,weekend,Weekend
6,weekend,night
7,weekend,Sunday
8,weekend,afternoon
9,weekend,weekened
10,weekend,season
11,weekend,month
12,weekend,Memorial_Day
13,weekend,weekend.The
14,weekend,Friday
15,weekend,evening
16,weekend,weekends
17,weekend,wekend
18,weekend,midweek
19,weekend,day
20,weekend,weeekend
21,weekend,fortnight
22,weekend,weeks
23,weekend,morning
24,weekend,year
25,weekend,spring
26,weekend,Thanksgiving
27,weekend,holiday
28,weekend,tonight
29,weekend,Rain_dampens
30,weekend,weekâ_€_™
31,weekend,New_Year_Eve
32,weekend,weeken
33,weekend,Easter
34,weekend,winter
35,weekend,Spring_Break
36,weekend,weeklong
37,weekend,wekeend
38,weekend,Fan_Appreciation_Weekend
39,weekend,Monday
40,weekend,tomorrow
41,weekend,weekendâ_€_™
42,weekend,Ferodo_Triple_Challenge
43,weekend,autumn
44,weekend,season.â_€
45,weekend,seaon
46,weekend,Thursday
47,weekend,days
48,weekend,summertime
49,weekend,Weather_postpones
0,outing,outings
1,outing,#/#-inning_outing
2,outing,#/#-inning_stint
3,outing,outting
4,outing,##/#-inning
5,outing,ª_innings
6,outing,subpar_outing
7,outing,⅓_innings
8,outing,##Ž#_innings
9,outing,roughest_outing
10,outing,peformance
11,outing,trip
12,outing,##/#-inning_outing
13,outing,excursion
14,outing,Jurrgens
15,outing,Chris_Denorfia_leadoff
16,outing,#/#-inning_span
17,outing,debut
18,outing,lone_blemish
19,outing,starter_Ricky_Romero
20,outing,Ñ3_innings
21,outing,performances
22,outing,LUCIE_Fla._Johan_Santana
23,outing,⅔_innings
24,outing,##/#innings
25,outing,##/#-inning_stint
26,outing,subpar_outings
27,outing,#/#-inning
28,outing,##innings
29,outing,romp
30,outing,runless_innings
31,outing,innings
32,outing,lanky_righty
33,outing,rookie_Aneury_Rodriguez
34,outing,DUNEDIN_Fla._Shaun_Marcum
35,outing,##Ú#_innings
36,outing,shortest_outing
37,outing,nicknamed_Boomer
38,outing,season
39,outing,shutout_innings
40,outing,innings_outpitching
41,outing,##âÑ#_innings
42,outing,inings
43,outing,Starter_Joel_Pineiro
44,outing,Outing
45,outing,#/#rd_scoreless
46,outing,opener
47,outing,Schlact
48,outing,innigs
49,outing,appearance
0,kit,kits
1,kit,Kit
2,kit,Kits
3,kit,JDAM_tail
4,kit,Starter_Kit
5,kit,Alan_Leong_Kah
6,kit,visit_www.sourceforge.com
7,kit,toolkit
8,kit,WILLISTON_Fla.
9,kit,Starter_Kits
10,kit,immunoassay_diagnostic_test
11,kit,VScan_Dengue_Fever
12,kit,CPR_Anytime
13,kit,eZdsp
14,kit,1Gig_PowerBook_G3
15,kit,Power_NODE_evaluation
16,kit,LunaTik
17,kit,battery_charger
18,kit,cordless_screwdriver
19,kit,LeadCheck
20,kit,With_Micropelt_TE
21,kit,P####_EVAL
22,kit,polishing_cloth
23,kit,LED_flashlight
24,kit,5_agent_biodetection
25,kit,Survival_Kit
26,kit,highlighter_yellow
27,kit,PowerBook_G4_Ti_1Gig
28,kit,blankets_flashlights
29,kit,rechargable_batteries
30,kit,Bicycle_Charger
31,kit,waterproof
32,kit,Repair_Kit
33,kit,containing_brooms_mops
34,kit,instruction_manual
35,kit,Saliva_Collection
36,kit,kaboodle
37,kit,sewing_kit
38,kit,keyring
39,kit,Tool_Kit
40,kit,flatpack
41,kit,VScan_rapid_test
42,kit,Toolkit
43,kit,drawstring_bag
44,kit,Weber_Denture_Liner
45,kit,PC_Detect_SM
46,kit,packs
47,kit,adapter
48,kit,PCB_mountable
49,kit,Kinetis_K##_MCU
0,anything,nothing
1,anything,anybody
2,anything,something
3,anything,anyone
4,anything,not
5,anything,Nothing
6,anything,everything
7,anything,any
8,anything,Anything
9,anything,never
10,anything,nobody
11,anything,else
12,anything,do
13,anything,what
14,anything,anyting
15,anything,Nobody
16,anything,certainly
17,anything,delegate_Thomas_Negints
18,anything,anymore
19,anything,anthing
20,anything,honestly
21,anything,spoons_clanking
22,anything,tomorrow_Camardelle
23,anything,anythign
24,anything,really
25,anything,noth_ing
26,anything,anyway
27,anything,know
28,anything,Ican't
29,anything,Ididn't
30,anything,anywhere_else
31,anything,stuff
32,anything,Ustad_Saeed
33,anything,Something
34,anything,think
35,anything,somebody_else
36,anything,Lawlessness_dictatorship
37,anything,Idon't
38,anything,ANYthing
39,anything,things
40,anything,absolved_Acheson
41,anything,it
42,anything,somebody
43,anything,Barney_Fife_THAT
44,anything,nicer_bloke
45,anything,anythng
46,anything,vitilligo
47,anything,Ella_TMD_Celebrity
48,anything,anyhting
49,anything,even
0,thanks,Thanks
1,thanks,THANKS
2,thanks,courtesy
3,thanks,thank
4,thanks,benefitted
5,thanks,kudos
6,thanks,despite
7,thanks,congrats
8,thanks,benefited
9,thanks,grateful
10,thanks,Congratulations
11,thanks,aided
12,thanks,Benefiting
13,thanks,Boosted
14,thanks,buoyed
15,thanks,ensured
16,thanks,congratulations
17,thanks,thanking
18,thanks,boosted
19,thanks,crediting
20,thanks,heartfelt_thanks
21,thanks,Aided
22,thanks,thankful
23,thanks,Buoyed
24,thanks,Kudos
25,thanks,Thank
26,thanks,thankyou
27,thanks,thanx
28,thanks,Enjoying
29,thanks,enjoyed
30,thanks,Congrats
31,thanks,Sincere_thanks
32,thanks,eternally_grateful
33,thanks,gratitude
34,thanks,attributed
35,thanks,Helped
36,thanks,Crediting
37,thanks,appreciate
38,thanks,Thank_goodness
39,thanks,THANK_YOU
40,thanks,enabled
41,thanks,dint
42,thanks,thanked
43,thanks,appreciative
44,thanks,testament
45,thanks,Heartfelt_thanks
46,thanks,benefiting
47,thanks,hooray
48,thanks,bolstered
49,thanks,crediting_misspellings
0,bye,byes
1,bye,round_byes
2,bye,homefield_advantage
3,bye,playoff_seeding
4,bye,homefield_advantage_throughout
5,bye,BYE
6,bye,WNIT_berth
7,bye,clinched_playoff_berth
8,bye,walkover
9,bye,WPIAL_playoff_berth
10,bye,homefield
11,bye,tiebreakers
12,bye,homecourt_advantage
13,bye,rematches
14,bye,rematch
15,bye,firstround_bye
16,bye,No.2_seed
17,bye,Class_AAAA_playoffs
18,bye,outscored_###-##
19,bye,coin_flip
20,bye,Wild_Card_Round
21,bye,LG_Kosier
22,bye,automatic_berth
23,bye,Tiebreakers
24,bye,nonconference_tuneup
25,bye,playoff_contention
26,bye,schnide
27,bye,ITA_Indoor_Championships
28,bye,duals
29,bye,2AAA
30,bye,playoffs
31,bye,quarterfinal_matchup
32,bye,tie_breakers
33,bye,playoff_seedings
34,bye,WPIAL_quarterfinals
35,bye,SU_ATS
36,bye,UPSET_SPECIAL
37,bye,postseason_berth
38,bye,seeding
39,bye,Blanda_promptly
40,bye,CCIW_Tournament
41,bye,tiebreaker
42,bye,cwalsh@ctpost.com
43,bye,Todd_Heap_TE
44,bye,MCAC_Tournament
45,bye,divisional_foe
46,bye,playoff_berth
47,bye,DB_Dawan_Landry
48,bye,clinches_playoff_berth
49,bye,scheduling_quirk
0,about,abut
1,about,aboutthe
2,about,aboout
3,about,just
4,about,regarding
5,about,more
6,about,abou
7,about,concerning
8,about,around
9,about,abour
10,about,aobut
11,about,talking
12,about,аbουt
13,about,About
14,about,octopus_Zapatero
15,about,how
16,about,QI'm
17,about,amateurism_Ter_Horst
18,about,please_call_#.###.WARRANTY
19,about,quivery_monotone
20,about,Lazette_Cherry_testified
21,about,Bardissi_Enterprises_welcomes
22,about,disco_Atwan
23,about,Ferriero_impartiality
24,about,abouta
25,about,Educate_yourselves
26,about,Kate_Foellmi
27,about,ancient_Sanskrit_literature
28,about,shipping_outfielder_Lastings
29,about,complete_Blog_holic
30,about,abotu
31,about,over
32,about,abot
33,about,VIGELAND
34,about,talked
35,about,ignite_firestorm
36,about,what
37,about,harm_minimization_Morrell
38,about,Inquiring_minds_want
39,about,talk
40,about,hated_spiny_dogfish
41,about,grough_wants
42,about,Visit_www.utsouthwestern.org
43,about,picks_schmaltzy
44,about,abt
45,about,ÔWhat
46,about,Mark_Loewen_paleontologist
47,about,worth
48,about,relates
49,about,Bochy_pep
0,wassup,Awright
1,wassup,hoooo
2,wassup,stfu
3,wassup,Hee_hee
4,wassup,whassup
5,wassup,whatcha
6,wassup,Da_da_da
7,wassup,questlove_@
8,wassup,Lmao
9,wassup,eeeee
10,wassup,jokin
11,wassup,wut
12,wassup,aaaa
13,wassup,fuck_fuck
14,wassup,RvM
15,wassup,fuk
16,wassup,Helloooo
17,wassup,aight
18,wassup,hello_hello
19,wassup,unh
20,wassup,fuggin
21,wassup,oooo
22,wassup,haaa
23,wassup,Hel_lo
24,wassup,Quit_yer
25,wassup,fucking_idiot
26,wassup,Hooo
27,wassup,hahahahaha
28,wassup,Uhmm
29,wassup,Wtf
30,wassup,Yo_yo_yo
31,wassup,Dayum
32,wassup,wow_wow
33,wassup,Nah_nah
34,wassup,Oh_noes
35,wassup,hahah
36,wassup,whoah
37,wassup,ooooo
38,wassup,a'ight
39,wassup,dogg
40,wassup,hah_hah
41,wassup,woo_woo_woo
42,wassup,wit_dat
43,wassup,Howzit
44,wassup,biatch
45,wassup,brutha
46,wassup,Haaa
47,wassup,Uhh
48,wassup,yo_ass
49,wassup,eeee
0,anything,nothing
1,anything,anybody
2,anything,something
3,anything,anyone
4,anything,not
5,anything,Nothing
6,anything,everything
7,anything,any
8,anything,Anything
9,anything,never
10,anything,nobody
11,anything,else
12,anything,do
13,anything,what
14,anything,anyting
15,anything,Nobody
16,anything,certainly
17,anything,delegate_Thomas_Negints
18,anything,anymore
19,anything,anthing
20,anything,honestly
21,anything,spoons_clanking
22,anything,tomorrow_Camardelle
23,anything,anythign
24,anything,really
25,anything,noth_ing
26,anything,anyway
27,anything,know
28,anything,Ican't
29,anything,Ididn't
30,anything,anywhere_else
31,anything,stuff
32,anything,Ustad_Saeed
33,anything,Something
34,anything,think
35,anything,somebody_else
36,anything,Lawlessness_dictatorship
37,anything,Idon't
38,anything,ANYthing
39,anything,things
40,anything,absolved_Acheson
41,anything,it
42,anything,somebody
43,anything,Barney_Fife_THAT
44,anything,nicer_bloke
45,anything,anythng
46,anything,vitilligo
47,anything,Ella_TMD_Celebrity
48,anything,anyhting
49,anything,even
0,no,No
1,no,whatsoever
2,no,any
3,no,there
4,no,nothing
5,no,definite
6,no,nobody
7,no,none
8,no,neither
9,no,isno
10,no,not
11,no,isn'ta
12,no,whatsover
13,no,hardly
14,no,wasn'ta
15,no,never
16,no,Nobody
17,no,little
18,no,without
19,no,discernible
20,no,plenty
21,no,nary
22,no,immediate
23,no,anybody
24,no,longer
25,no,slightest
26,no,There
27,no,minimal
28,no,Nothing
29,no,noone
30,no,that
31,no,only
32,no,anyone
33,no,discernable
34,no,obvious
35,no,aren'ta
36,no,nowhere
37,no,anything
38,no,nor
39,no,None
40,no,patriotism_Gration
41,no,scant
42,no,weren'ta
43,no,therewas
44,no,whatever
45,no,Neither
46,no,real
47,no,nary_snicker_blush
48,no,NO
49,no,devoid
0,reveal,divulge
1,reveal,revealing
2,reveal,revealed
3,reveal,disclose
4,reveal,divulged
5,reveal,reveals
6,reveal,Revealing
7,reveal,uncover
8,reveal,divulges
9,reveal,confirm
10,reveal,expose
11,reveal,disclosed
12,reveal,discloses
13,reveal,indicate
14,reveal,explain
15,reveal,tell
16,reveal,disclosing
17,reveal,unveil
18,reveal,divulging
19,reveal,uncovers
20,reveal,specify
21,reveal,unearth
22,reveal,betray
23,reveal,delve
24,reveal,divulge_specifics
25,reveal,discover
26,reveal,remained_tight_lipped
27,reveal,elucidate
28,reveal,unrevealed
29,reveal,elaborate
30,reveal,unmask
31,reveal,closely_guarded
32,reveal,speculate
33,reveal,identify
34,reveal,conceal
35,reveal,Without_divulging
36,reveal,privy
37,reveal,publish
38,reveal,Visit_www.universalenergycorp.info
39,reveal,Divulging
40,reveal,allude
41,reveal,unmasked
42,reveal,delve_deeper
43,reveal,suggest
44,reveal,show
45,reveal,privvy
46,reveal,publicize
47,reveal,uncovered
48,reveal,detailing
49,reveal,admit
0,hobby,hobbies
1,hobby,avocation
2,hobby,traps_gators
3,hobby,hobbyist
4,hobby,Model_railroading
5,hobby,woodworking
6,hobby,Hobbies
7,hobby,pastime
8,hobby,hobbyists
9,hobby,Boy_Scout_scoutmaster
10,hobby,woodworking_hobby
11,hobby,favorite_pastime
12,hobby,Zimov_smiling
13,hobby,shoeing_horses
14,hobby,gardening_woodworking
15,hobby,avid_collector
16,hobby,enthusiast
17,hobby,crocheting_sewing
18,hobby,refinishing_furniture
19,hobby,model_railroading
20,hobby,woodworking_gardening
21,hobby,Eugene_Zerfoss
22,hobby,woodturning
23,hobby,pastimes
24,hobby,gardening_canning
25,hobby,antiquing
26,hobby,passion
27,hobby,scrapbooking
28,hobby,enjoyed_sewing_quilting
29,hobby,favorite_pastimes
30,hobby,favorite_pasttime
