,Name,Age,Status,Family_size,Location,Budget,Age category,LD_CD,Model
145,CUS360,18,Married,6,Michigan,110000,<20,LD,AMG GLE63 S SUV
146,CUS362,52,Married,5,Arkansas,30000,40-60,CD,GLA SUV
147,CUS363,23,Single,2,Maryland,110000,20-40,LD,SL 550 Roadster
148,CUS365,64,Single,2,Ohio,60000,>60,LD,AMG SLC43 Roadster
149,CUS366,48,Single,2,South Carolina,220000,40-60,LD,AMG SL65 Roadster
150,CUS371,22,Single,2,Arkansas,110000,20-40,CD,SL 550 Roadster
151,CUS375,22,Single,3,Arizona,50000,20-40,CD,AMG CLA45 Coupe
152,CUS379,60,Married,5,Iowa,100000,>60,LD,AMG GLE63 SUV
153,CUS380,47,Married,2,Connecticut,50000,40-60,CD,C300 Cabriolet
154,CUS381,20,Single,5,Mississippi,220000,20-40,LD,AMG G65 SUV
155,CUS382,37,Married,4,District of Columbia,190000,20-40,CD,Mercedes-Maybach S600 Sedan
156,CUS383,32,Married,6,Indiana,110000,20-40,LD,AMG GLE63 S SUV
157,CUS386,21,Single,4,Wisconsin,140000,20-40,LD,AMG S63 Sedan
158,CUS388,50,Single,4,North Dakota,50000,40-60,LD,E300 4MATIC Sedan
159,CUS389,60,Married,5,Puerto Rico,70000,>60,LD,GLS450 SUV
160,CUS392,41,Single,6,Tennessee,50000,40-60,LD,GLE 350e 4MATIC SUV
161,CUS393,57,Married,4,Virginia,100000,40-60,LD,S550 4MATIC Sedan
162,CUS394,31,Single,4,Alabama,40000,20-40,CD,C300
163,CUS395,24,Married,4,Tennessee,190000,20-40,LD,Mercedes-Maybach S600 Sedan
164,CUS398,32,Single,5,Kentucky,90000,20-40,LD,GLS550 SUV
165,CUS399,48,Single,3,Florida,80000,40-60,LD,2016 CLS550 4MATIC Coupe
166,CUS400,60,Married,3,Virginia,60000,>60,LD,E400 Cabriolet
167,CUS401,57,Single,5,Alabama,90000,40-60,CD,GLS550 SUV
168,CUS404,35,Married,5,Kentucky,70000,20-40,LD,AMG GLE43 SUV
169,CUS405,52,Single,3,Ohio,40000,40-60,LD,C300 4MATIC Coupe
170,CUS406,57,Married,4,Virginia,100000,40-60,LD,S550 4MATIC Sedan
171,CUS407,52,Single,4,Nevada,70000,40-60,LD,AMG C63 Sedan
172,CUS409,22,Married,6,Hawaii,40000,20-40,LD,GLC300 4MATIC SUV
173,CUS413,45,Married,6,Arkansas,220000,40-60,CD,AMG G65 SUV
174,CUS415,28,Single,4,Vermont,100000,20-40,LD,S550 4MATIC Sedan
175,CUS416,19,Single,6,Illinois,120000,<20,LD,AMG GLS63 SUV
176,CUS418,34,Married,3,North Dakota,240000,20-40,LD,AMG S65 Coupe
177,CUS419,58,Married,4,New York,230000,40-60,LD,AMG S65 Sedan
178,CUS421,39,Married,5,Idaho,70000,20-40,LD,AMG GLE43 SUV
179,CUS422,54,Married,3,New Jersey,50000,40-60,LD,GLC300 4MATIC Coupe
180,CUS424,58,Single,3,Rhode Island,160000,40-60,LD,AMG S63 Coupe
181,CUS428,22,Single,4,Maryland,50000,20-40,LD,E300 4MATIC Sedan
182,CUS429,63,Single,2,Louisiana,150000,>60,LD,AMG SL63Roadster
183,CUS431,42,Married,6,Georgia,90000,40-60,LD,GLS550 SUV
184,CUS433,37,Single,5,Nevada,100000,20-40,LD,AMG GLE63 SUV
185,CUS435,47,Single,5,Michigan,220000,40-60,LD,AMG G65 SUV
186,CUS437,36,Single,3,Oregon,240000,20-40,LD,AMG S65 Coupe
187,CUS438,34,Married,2,Ohio,130000,20-40,LD,S550 Cabriolet
188,CUS440,19,Single,3,New Mexico,130000,<20,LD,AMG GT S
189,CUS445,19,Single,2,Oregon,220000,<20,LD,AMG SL65 Roadster
190,CUS446,37,Married,3,Mississippi,30000,20-40,LD,CLA250 4MATIC Coupe
191,CUS448,27,Married,2,Virginia,60000,20-40,LD,AMG C43 Cabriolet
192,CUS452,58,Single,3,South Dakota,50000,40-60,LD,GLC300 4MATIC Coupe
193,CUS455,25,Married,3,Wyoming,160000,20-40,LD,AMG S63 Coupe
194,CUS457,45,Single,5,New Hampshire,140000,40-60,LD,AMG G63 SUV
195,CUS458,20,Married,3,Guam,160000,20-40,LD,AMG S63 Coupe
196,CUS459,63,Married,4,Mississippi,50000,>60,LD,E300 4MATIC Sedan
197,CUS462,41,Married,6,Oklahoma,70000,40-60,LD,GLS450 SUV
198,CUS463,48,Single,4,Alaska,170000,40-60,CD,S600 Sedan
199,CUS466,57,Married,3,New York,70000,40-60,LD,CLS550 Coupe
200,CUS472,22,Single,6,Georgia,110000,20-40,LD,AMG GLE63 S SUV
201,CUS481,42,Single,2,Michigan,150000,40-60,LD,AMG SL63Roadster
202,CUS485,52,Married,6,Nevada,220000,40-60,LD,AMG G65 SUV
203,CUS487,20,Single,3,American Samoa,60000,20-40,CD,AMG C43 Coupe
204,CUS490,45,Married,3,Alabama,40000,40-60,CD,C300 Coupe
205,CUS492,50,Married,4,Idaho,50000,40-60,LD,E300 4MATIC Sedan
206,CUS498,39,Single,6,New Jersey,50000,20-40,LD,GLE 350e 4MATIC SUV
207,CUS502,40,Married,5,Virginia,40000,40-60,LD,GLC300 4MATIC SUV
208,CUS508,30,Married,4,District of Columbia,230000,20-40,CD,AMG S65 Sedan
209,CUS509,48,Single,3,Pennsylvania,120000,40-60,LD,S550 4MATIC Coupe
210,CUS510,47,Single,3,Alaska,110000,40-60,CD,AMG GT
211,CUS514,46,Single,5,Louisiana,70000,40-60,LD,GLS450 SUV
212,CUS521,20,Single,5,Montana,140000,20-40,LD,AMG G63 SUV
213,CUS523,52,Married,3,Florida,60000,40-60,LD,E400 Cabriolet
214,CUS524,20,Single,5,Guam,140000,20-40,LD,AMG G63 SUV
215,CUS527,39,Married,6,North Dakota,100000,20-40,LD,AMG GLE63 SUV
216,CUS530,49,Married,6,District of Columbia,70000,40-60,CD,GLS450 SUV
217,CUS533,39,Single,4,Wisconsin,140000,20-40,LD,AMG S63 Sedan
218,CUS535,58,Single,6,South Carolina,40000,40-60,LD,GLC300 4MATIC SUV
219,CUS536,46,Single,6,Louisiana,50000,40-60,LD,GLE 350e 4MATIC SUV
220,CUS539,64,Married,5,Colorado,70000,>60,CD,GLS450 SUV
221,CUS541,32,Married,3,Minnesota,240000,20-40,LD,AMG S65 Coupe
222,CUS544,44,Married,3,Ohio,60000,40-60,LD,E400 Cabriolet
223,CUS545,39,Married,4,New Hampshire,40000,20-40,LD,C300 4MATIC SEDAN
224,CUS547,41,Single,5,Wisconsin,100000,40-60,LD,AMG GLE63 SUV
225,CUS552,20,Married,2,Rhode Island,180000,20-40,LD,AMG S63 Cabriolet
226,CUS553,35,Single,5,American Samoa,70000,20-40,CD,AMG GLE43 SUV
227,CUS554,18,Single,5,Mississippi,110000,<20,LD,AMG GLE63 S SUV
228,CUS555,59,Single,4,Northern Mariana Islands,190000,40-60,LD,Mercedes-Maybach S600 Sedan
229,CUS556,38,Married,3,Vermont,50000,20-40,LD,GLC300 4MATIC Coupe
230,CUS560,48,Married,2,West Virginia,250000,40-60,LD,AMG S65 Cabriolet
231,CUS562,23,Married,6,Hawaii,30000,20-40,LD,GLA 4MATIC SUV
232,CUS564,21,Married,5,Indiana,90000,20-40,LD,GLS550 SUV
233,CUS568,58,Single,4,New York,100000,40-60,LD,S550 4MATIC Sedan
234,CUS569,28,Married,6,Arizona,70000,20-40,CD,AMG GLE43 SUV
235,CUS571,51,Single,3,West Virginia,160000,40-60,LD,AMG S63 Coupe
236,CUS572,38,Married,2,Maine,180000,20-40,LD,AMG S63 Cabriolet
237,CUS575,42,Single,5,New York,110000,40-60,LD,AMG GLE63 S SUV
238,CUS576,46,Married,3,Oklahoma,110000,40-60,LD,AMG GT
239,CUS577,37,Single,4,Maine,50000,20-40,LD,E300 4MATIC Sedan
240,CUS581,27,Married,6,Montana,110000,20-40,LD,AMG GLE63 S SUV
241,CUS585,57,Single,2,Michigan,90000,40-60,LD,SL 450 Roadster
242,CUS586,25,Married,4,Oregon,70000,20-40,LD,AMG C63 S Sedan
243,CUS590,54,Single,5,Arkansas,30000,40-60,CD,GLA SUV
244,CUS592,36,Married,4,Maryland,170000,20-40,LD,Mercedes-Maybach S550 4MATIC Sedan
245,CUS596,41,Single,5,Idaho,220000,40-60,LD,AMG G65 SUV
246,CUS599,24,Married,4,Idaho,140000,20-40,LD,AMG S63 Sedan
247,CUS608,39,Married,3,Northern Mariana Islands,70000,20-40,LD,2016 CLS400 4MATIC Coupe
248,CUS609,25,Married,3,Wyoming,160000,20-40,LD,AMG S63 Coupe
249,CUS610,65,Married,3,Arkansas,160000,>60,CD,AMG S63 Coupe
250,CUS612,48,Married,2,Alabama,250000,40-60,CD,AMG S65 Cabriolet
251,CUS621,22,Married,2,Puerto Rico,50000,20-40,LD,C300 4MATIC Cabriolet
252,CUS627,30,Married,4,Alabama,100000,20-40,CD,S550 Sedan
253,CUS634,32,Single,3,Connecticut,240000,20-40,CD,AMG S65 Coupe
254,CUS638,51,Married,2,Iowa,130000,40-60,LD,S550 Cabriolet
255,CUS640,63,Married,4,West Virginia,40000,>60,LD,C300 4MATIC SEDAN
256,CUS641,38,Married,2,Rhode Island,80000,20-40,LD,AMG C63 S Cabriolet
257,CUS643,47,Married,3,District of Columbia,40000,40-60,CD,C300 Coupe
258,CUS645,47,Married,6,North Carolina,120000,40-60,LD,G550 SUV
259,CUS646,48,Single,6,Montana,120000,40-60,LD,G550 SUV
260,CUS648,45,Single,6,Arizona,50000,40-60,CD,GLE 350 SUV
261,CUS649,32,Married,2,Massachusetts,60000,20-40,LD,AMG C43 Cabriolet
262,CUS654,38,Single,5,American Samoa,50000,20-40,CD,GLE 350 SUV
263,CUS655,54,Married,6,Colorado,40000,40-60,CD,GLC300 SUV
264,CUS656,41,Single,5,Virginia,90000,40-60,LD,GLS550 SUV
265,CUS659,36,Single,4,New Hampshire,100000,20-40,LD,S550 4MATIC Sedan
266,CUS663,21,Single,4,Florida,140000,20-40,LD,AMG S63 Sedan
267,CUS665,50,Single,6,Connecticut,90000,40-60,CD,GLS550 SUV
268,CUS668,43,Single,3,Delaware,50000,40-60,CD,E400 Coupe
269,CUS670,29,Single,3,Massachusetts,70000,20-40,LD,2016 CLS400 4MATIC Coupe
270,CUS673,59,Single,3,Colorado,240000,40-60,CD,AMG S65 Coupe
271,CUS674,57,Single,5,Alabama,120000,40-60,CD,G550 SUV
272,CUS675,60,Single,6,Mississippi,220000,>60,LD,AMG G65 SUV
273,CUS676,62,Single,5,Tennessee,70000,>60,LD,GLS450 SUV
274,CUS678,58,Married,4,Vermont,190000,40-60,LD,Mercedes-Maybach S600 Sedan
275,CUS685,58,Married,3,Arkansas,70000,40-60,CD,CLS550 Coupe
276,CUS687,56,Single,5,New Mexico,50000,40-60,LD,GLE 350e 4MATIC SUV
277,CUS688,62,Single,6,Florida,110000,>60,LD,AMG GLE63 S SUV
278,CUS689,35,Single,6,Delaware,50000,20-40,CD,GLE 350 SUV
279,CUS692,30,Single,4,Nevada,230000,20-40,LD,AMG S65 Sedan
280,CUS694,42,Single,5,Puerto Rico,120000,40-60,LD,G550 SUV
281,CUS695,34,Married,3,North Dakota,130000,20-40,LD,AMG GT S
282,CUS697,54,Single,2,Oklahoma,90000,40-60,LD,SL 450 Roadster
283,CUS698,25,Married,5,Kentucky,50000,20-40,LD,GLE 350e 4MATIC SUV
284,CUS699,29,Married,2,Missouri,50000,20-40,LD,C300 4MATIC Cabriolet
285,CUS700,63,Single,4,Alabama,190000,>60,CD,Mercedes-Maybach S600 Sedan
286,CUS701,57,Single,5,Indiana,40000,40-60,LD,GLC300 4MATIC SUV
287,CUS702,23,Single,4,Maryland,50000,20-40,LD,E300 4MATIC Sedan
288,CUS704,56,Single,4,Hawaii,70000,40-60,LD,AMG C63 Sedan
289,CUS706,36,Single,6,Indiana,30000,20-40,LD,GLA 4MATIC SUV
290,CUS711,19,Single,6,Idaho,50000,<20,LD,GLE 350e 4MATIC SUV
291,CUS712,35,Married,4,Virginia,230000,20-40,LD,AMG S65 Sedan
292,CUS714,20,Single,2,South Carolina,50000,20-40,LD,SLC 300 Roadster
293,CUS716,33,Married,5,Alabama,90000,20-40,CD,GLS550 SUV
294,CUS722,39,Married,2,American Samoa,180000,20-40,CD,AMG S63 Cabriolet
295,CUS724,57,Married,6,New York,220000,40-60,LD,AMG G65 SUV
296,CUS725,43,Married,6,Wisconsin,100000,40-60,LD,AMG GLE63 SUV
297,CUS727,40,Single,6,Indiana,100000,40-60,LD,AMG GLE63 SUV
298,CUS728,41,Married,4,New York,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
299,CUS735,54,Married,2,Guam,180000,40-60,LD,AMG S63 Cabriolet
300,CUS736,20,Single,2,South Carolina,60000,20-40,LD,AMG SLC43 Roadster
301,CUS739,38,Single,4,Idaho,190000,20-40,LD,Mercedes-Maybach S600 Sedan
302,CUS740,41,Married,5,Michigan,70000,40-60,LD,GLS450 SUV
303,CUS741,52,Married,6,New York,120000,40-60,LD,G550 SUV
304,CUS742,32,Married,4,Nevada,70000,20-40,LD,AMG C63 S Sedan
305,CUS748,45,Married,3,Nevada,70000,40-60,LD,CLS550 Coupe
306,CUS749,40,Single,6,Rhode Island,30000,40-60,LD,GLA 4MATIC SUV
307,CUS753,30,Married,5,South Dakota,50000,20-40,LD,GLE 350e 4MATIC SUV
308,CUS755,59,Married,2,South Dakota,250000,40-60,LD,AMG S65 Cabriolet
309,CUS756,65,Single,6,North Dakota,110000,>60,LD,AMG GLE63 S SUV
310,CUS757,27,Single,4,Colorado,230000,20-40,CD,AMG S65 Sedan
311,CUS760,27,Single,4,Maryland,190000,20-40,LD,Mercedes-Maybach S600 Sedan
312,CUS761,27,Married,5,Arizona,100000,20-40,CD,AMG GLE63 SUV
313,CUS769,46,Single,3,North Carolina,120000,40-60,LD,S550 4MATIC Coupe
314,CUS773,37,Married,2,Washington,50000,20-40,LD,C300 4MATIC Cabriolet
315,CUS775,28,Married,4,Minnesota,190000,20-40,LD,Mercedes-Maybach S600 Sedan
316,CUS778,29,Married,5,Alaska,40000,20-40,CD,GLC300 SUV
317,CUS779,30,Single,6,Connecticut,40000,20-40,CD,GLC300 SUV
318,CUS787,28,Single,2,Wyoming,90000,20-40,LD,SL 450 Roadster
319,CUS788,25,Married,6,Idaho,70000,20-40,LD,AMG GLE43 SUV
320,CUS790,61,Single,5,Montana,100000,>60,LD,AMG GLE63 SUV
321,CUS792,19,Single,5,North Carolina,50000,<20,LD,GLE 350e 4MATIC SUV
322,CUS796,35,Single,6,Nebraska,110000,20-40,LD,AMG GLE63 S SUV
323,CUS802,64,Married,6,New York,70000,>60,LD,GLS450 SUV
324,CUS806,44,Single,6,Hawaii,70000,40-60,LD,GLS450 SUV
325,CUS810,50,Married,3,Utah,70000,40-60,LD,CLS550 Coupe
326,CUS811,56,Single,6,Montana,40000,40-60,LD,GLC300 4MATIC SUV
327,CUS813,24,Married,2,Michigan,130000,20-40,LD,S550 Cabriolet
328,CUS814,36,Married,5,South Carolina,50000,20-40,LD,GLE 350e 4MATIC SUV
329,CUS816,41,Married,6,North Carolina,70000,40-60,LD,GLS450 SUV
330,CUS819,19,Single,5,American Samoa,70000,<20,CD,AMG GLE43 SUV
331,CUS820,32,Single,2,Wisconsin,110000,20-40,LD,SL 550 Roadster
332,CUS822,32,Single,2,Massachusetts,150000,20-40,LD,AMG SL63Roadster
333,CUS823,21,Married,2,Michigan,180000,20-40,LD,AMG S63 Cabriolet
334,CUS824,60,Married,6,District of Columbia,110000,>60,CD,AMG GLE63 S SUV
335,CUS825,24,Married,5,Idaho,120000,20-40,LD,AMG GLS63 SUV
336,CUS828,62,Single,5,American Samoa,140000,>60,CD,AMG G63 SUV
